FantasyPros.com ,,,,,,
2019 NFL Rankings ,,,,,,
,,,,,,
,,,,,,
Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Saquon Barkley,NYG,RB,1,3,0.75
2,Alvin Kamara,NO,RB,1,4,1.02
3,Christian McCaffrey,CAR,RB,1,4,1.1
4,Nick Chubb,CLE,RB,1,9,2.56
5,Ezekiel Elliott,DAL,RB,2,12,3.54
6,DeAndre Hopkins,HOU,WR,4,14,3.56
7,David Johnson,ARI,RB,5,13,2.87
8,Davante Adams,GB,WR,6,17,4.12
9,James Conner,PIT,RB,7,17,3.29
10,Julio Jones,ATL,WR,8,15,2.33
11,Dalvin Cook,MIN,RB,8,19,4.34
12,Odell Beckham Jr.,CLE,WR,10,20,3.49
13,Le'Veon Bell,NYJ,RB,8,27,7.12
14,Michael Thomas,NO,WR,10,18,2.64
15,JuJu Smith-Schuster,PIT,WR,7,20,4.18
16,Travis Kelce,KC,TE,11,16,2.06
17,Tyreek Hill,KC,WR,14,20,2.04
18,Joe Mixon,CIN,RB,11,31,6.97
19,George Kittle,SF,TE,18,21,1.17
20,Mike Evans,TB,WR,17,25,3.49
21,Keenan Allen,LAC,WR,24,32,2.93
22,Damien Williams,KC,RB,10,40,10.34
23,Aaron Jones,GB,RB,9,42,12.67
24,Kerryon Johnson,DET,RB,21,41,6.85
25,Devonta Freeman,ATL,RB,20,47,9.65
26,Antonio Brown,OAK,WR,24,33,3.14
27,Zach Ertz,PHI,TE,22,55,13.11
28,Amari Cooper,DAL,WR,26,36,3.92
29,Adam Thielen,MIN,WR,28,33,1.85
30,Stefon Diggs,MIN,WR,29,32,1.36
31,Chris Godwin,TB,WR,25,35,4.35
32,Derrick Henry,TEN,RB,14,44,10.55
33,Todd Gurley,LAR,RB,23,51,10.23
34,Marlon Mack,IND,RB,19,75,21.76
35,Brandin Cooks,LAR,WR,30,49,6.79
36,Robert Woods,LAR,WR,29,42,4.59
37,David Montgomery,CHI,RB,19,58,13.61
38,Leonard Fournette,JAC,RB,31,59,10.53
39,Patrick Mahomes,KC,QB,21,51,10.87
40,Julian Edelman,NE,WR,33,72,15.01
41,T.Y. Hilton,IND,WR,34,67,12.29
42,Chris Carson,SEA,RB,36,49,4.76
43,Deshaun Watson,HOU,QB,21,52,12.03
44,Josh Jacobs,OAK,RB,40,50,3.87
45,Mark Ingram,BAL,RB,28,56,10.03
46,Kenny Golladay,DET,WR,36,64,9.44
47,Tyler Lockett,SEA,WR,37,59,8.73
48,Allen Robinson,CHI,WR,40,57,5.54
49,Tyler Boyd,CIN,WR,35,71,13.47
50,Mike Williams,LAC,WR,39,62,10.28
51,Cooper Kupp,LAR,WR,43,59,5.71
52,O.J. Howard,TB,TE,35,63,9.6
53,Calvin Ridley,ATL,WR,38,63,9.56
54,Robby Anderson,NYJ,WR,38,66,10.27
55,Sony Michel,NE,RB,35,72,13.47
56,Aaron Rodgers,GB,QB,53,59,2.42
57,Melvin Gordon,LAC,RB,46,77,10.89
58,D.J. Moore,CAR,WR,37,74,12.07
59,Alshon Jeffery,PHI,WR,51,66,5.71
60,Baker Mayfield,CLE,QB,50,69,6.53
61,Matt Ryan,ATL,QB,53,73,7.6
62,Miles Sanders,PHI,RB,47,75,12.52
63,Evan Engram,NYG,TE,51,72,6.65
64,Tevin Coleman,SF,RB,54,82,10.38
65,Hunter Henry,LAC,TE,64,68,1.6
66,Christian Kirk,ARI,WR,57,83,9.2
67,Josh Gordon,NE,WR,45,78,11.65
68,Curtis Samuel,CAR,WR,60,74,5.53
69,Will Fuller,HOU,WR,51,89,15.94
70,James White,NE,RB,52,100,16.03
71,Duke Johnson,HOU,RB,49,95,15.74
72,Dede Westbrook,JAC,WR,52,94,14.92
73,Jared Cook,NO,TE,61,93,12.77
74,Russell Wilson,SEA,QB,57,94,13.76
75,Carson Wentz,PHI,QB,67,91,9.5
76,Cam Newton,CAR,QB,67,94,10.19
77,Jarvis Landry,CLE,WR,47,119,24.39
78,Phillip Lindsay,DEN,RB,56,108,19.9
79,Kyler Murray,ARI,QB,65,102,13.53
80,Lamar Jackson,BAL,QB,56,106,16.56
81,Vance McDonald,PIT,TE,69,102,11.51
82,Kenyan Drake,MIA,RB,76,105,9.89
83,Corey Davis,TEN,WR,80,92,4.34
84,Royce Freeman,DEN,RB,79,99,6.89
85,A.J. Green,CIN,WR,71,103,12.2
86,Latavius Murray,NO,RB,74,111,15.37
87,Jameis Winston,TB,QB,76,106,10.71
88,David Njoku,CLE,TE,77,106,10.42
89,Austin Hooper,ATL,TE,71,114,15.93
90,Tarik Cohen,CHI,RB,70,145,26.78
91,Larry Fitzgerald,ARI,WR,68,110,16.82
92,Drew Brees,NO,QB,66,116,19.79
93,Sterling Shepard,NYG,WR,79,127,16.5
94,Mark Andrews,BAL,TE,74,133,20.87
95,Sammy Watkins,KC,WR,80,131,20.7
96,Marvin Jones,DET,WR,77,117,16.08
97,Dak Prescott,DAL,QB,90,121,10.91
98,Derrius Guice,WAS,RB,81,144,22.92
99,Rashaad Penny,SEA,RB,79,124,17.14
100,Austin Ekeler,LAC,RB,77,129,17.36
101,Marquez Valdes-Scantling,GB,WR,76,137,21.92
102,Matt Breida,SF,RB,79,134,17.94
103,Eric Ebron,IND,TE,73,149,24.63
104,Darrell Henderson,LAR,RB,78,122,17.62
105,Philip Rivers,LAC,QB,95,114,7.03
106,Jared Goff,LAR,QB,97,116,6.55
107,Ben Roethlisberger,PIT,QB,88,118,11.08
108,Donte Moncrief,PIT,WR,84,135,19.17
109,Dante Pettis,SF,WR,83,145,20.59
110,Geronimo Allison,GB,WR,86,167,28.53
111,Emmanuel Sanders,DEN,WR,94,132,12.2
112,Michael Gallup,DAL,WR,92,155,22.63
113,Keke Coutee,HOU,WR,98,137,15.14
114,Trey Burton,CHI,TE,112,122,3.31
115,Jamison Crowder,NYJ,WR,93,149,20.8
116,Courtland Sutton,DEN,WR,95,128,12.29
117,Kyle Rudolph,MIN,TE,111,125,5.06
118,Anthony Miller,CHI,WR,89,154,21.84
119,Jimmy Garoppolo,SF,QB,88,147,23.84
120,DeSean Jackson,PHI,WR,93,157,23.79
121,Jordan Howard,PHI,RB,93,162,25.18
122,Mitch Trubisky,CHI,QB,110,148,13.69
123,Chicago,CHI,DST,121,138,5.62
124,Delanie Walker,TEN,TE,90,117,10.36
125,Josh Allen,BUF,QB,102,155,19.73
126,Tom Brady,NE,QB,112,143,10.82
127,Kirk Cousins,MIN,QB,104,147,14.27
128,Devin Singletary,BUF,RB,103,169,21.36
129,Kalen Ballage,MIA,RB,100,166,21.54
130,Jacksonville,JAC,DST,125,149,8.05
131,Devin Funchess,IND,WR,96,179,28.69
132,Sam Darnold,NYJ,QB,138,151,4.71
133,LA Rams,LAR,DST,131,156,10.34
134,DaeSean Hamilton,DEN,WR,120,165,17.14
135,Ronald Jones II,TB,RB,101,156,21.12
136,Minnesota,MIN,DST,137,163,9.21
137,Tyrell Williams,OAK,WR,106,198,32.9
138,LA Chargers,LAC,DST,131,160,9.97
139,Jordan Reed,WAS,TE,115,148,12.87
140,Baltimore,BAL,DST,130,180,17.96
141,Marquise Goodwin,SF,WR,133,175,15.1
142,Cleveland ,CLE,DST,141,166,9.83
143,Matthew Stafford,DET,QB,146,159,4.54
144,T.J. Hockenson,DET,TE,121,160,15.77
145,Peyton Barber,TB,RB,113,157,16.53
146,John Brown,BUF,WR,125,173,16.8
147,Houston,HOU,DST,145,172,11.36
148,Derek Carr,OAK,QB,147,174,9.24
149,Greg Zuerlein,LAR,K,151,170,7.92
150,Jack Doyle,IND,TE,124,156,13.77
151,LeSean McCoy,BUF,RB,107,116,3.68
152,Damien Harris,NE,RB,106,189,33.88
153,Greg Olsen,CAR,TE,127,160,14.67
154,Dion Lewis,TEN,RB,109,132,10.4
155,Golden Tate,NYG,WR,136,171,13.46
156,Justin Tucker,BAL,K,153,187,12.16
157,Adrian Peterson,WAS,RB,104,153,20.4
158,Chris Herndon IV,NYJ,TE,126,220,38.74
159,Darwin Thompson,KC,RB,107,147,16.34
160,Jaylen Samuels,PIT,RB,101,160,24.28
161,Dallas Goedert,PHI,TE,138,186,18.41
162,Jimmy Graham,GB,TE,120,143,10.21
163,Kenny Stills,MIA,WR,148,183,14.29
164,Nyheim Hines,IND,RB,113,165,21.48
165,Tre'Quan Smith,NO,WR,158,189,11.12
166,Deebo Samuel,SF,WR,135,191,20.6
167,Harrison Butker,KC,K,155,177,7.95
168,Justice Hill,BAL,RB,136,161,10.8
169,N'Keal Harry,NE,WR,142,194,20.1
170,Justin Jackson,LAC,RB,128,166,15.54
171,Tony Pollard,DAL,RB,109,207,41.06
172,Nick Foles,JAC,QB,155,223,25.8
173,Jamaal Williams,GB,RB,121,169,21.75
174,Andy Dalton,CIN,QB,150,184,13.16
175,Dallas,DAL,DST,169,204,11.53
176,Mohamed Sanu,ATL,WR,170,193,9.71
177,James Washington,PIT,WR,165,185,7.5
178,Zay Jones,BUF,WR,136,189,22.01
179,Stephen Gostkowski,NE,K,169,184,5.63
180,Philadelphia,PHI,DST,152,205,19.68
181,Jacoby Brissett,IND,QB,158,226,27.65
182,New England,NE,DST,162,212,16.32
183,Chris Thompson,WAS,RB,118,205,35.52
184,Noah Fant,DEN,TE,125,213,37.53
185,Ka'imi Fairbairn,HOU,K,166,192,12.04
186,New Orleans,NO,DST,174,187,5.07
187,Ito Smith,ATL,RB,110,148,19
188,Parris Campbell,IND,WR,140,207,25.71
189,Wil Lutz,NO,K,158,203,16.02
190,Denver,DEN,DST,175,193,6.83
191,Adam Humphries,TEN,WR,126,196,29.44
192,Buffalo,BUF,DST,174,197,9.23
193,Quincy Enunwa,NYJ,WR,140,183,19.4
194,Kareem Hunt,CLE,RB,160,173,6.13
195,Ted Ginn,NO,WR,139,154,7.5
196,Seattle,SEA,DST,167,226,20.05
197,Giovani Bernard,CIN,RB,150,157,3.5
198,D.K. Metcalf,SEA,WR,158,194,15.75
199,Devante Parker,MIA,WR,142,224,33.48
200,Mike Davis,CHI,RB,164,167,1.5
201,Mason Crosby,GB,K,188,220,12.72
202,Joe Flacco,DEN,QB,174,231,21.31
203,Mike Gesicki,MIA,TE,167,169,1
204,Taylor Gabriel,CHI,WR,178,210,14.64
205,Robbie Gould,SF,K,194,210,6.18
206,Rashard Higgins,CLE,WR,166,208,17.66
207,Michael Badgley,LAC,K,193,208,5.76
208,Darren Waller,OAK,TE,124,221,48.5
209,Gerald Everett,LAR,TE,127,219,46
210,Malcolm Brown,LAR,RB,138,209,35.5
211,Brett Maher,DAL,K,190,222,11.67
212,Kansas City,KC,DST,191,214,8.56
213,Carlos Hyde,KC,RB,126,126,0
214,Albert Wilson,MIA,WR,171,189,9
215,Matt Prater,DET,K,192,227,14.2
216,Tennessee,TEN,DST,193,216,9.82
217,Indianapolis,IND,DST,186,228,15.45
218,Jake Elliott,PHI,K,196,215,8.04
219,Marcus Mariota,TEN,QB,172,220,20.22
220,Mecole Hardman,KC,WR,184,191,3.5
221,Jalen Hurd,SF,WR,182,198,8
222,Robert Foster,BUF,WR,187,195,4
223,Tyler Eifert,CIN,TE,180,204,12
224,Andy Isabella,ARI,WR,182,202,10
225,Pittsburgh,PIT,DST,198,225,10.61
226,Will Dissly,SEA,TE,157,157,0
227,Randall Cobb,DAL,WR,187,202,7.5
228,Rex Burkhead,NE,RB,168,222,27
229,Nelson Agholor,PHI,WR,159,159,0
230,Ty Montgomery,NYJ,RB,163,163,0
231,Jordan Thomas,HOU,TE,163,163,0
232,Carolina,CAR,DST,201,222,8.73
233,Ryan Fitzpatrick,MIA,QB,197,230,13.48
234,C.J. Anderson,DET,RB,170,170,0
235,D.J. Chark,JAC,WR,192,210,9
236,Jerick McKinnon,SF,RB,172,172,0
237,Adam Vinatieri,IND,K,201,230,11.07
238,Danny Amendola,DET,WR,173,173,0
239,Elijah McGuire,NYJ,RB,176,176,0
240,Ian Thomas,CAR,TE,176,176,0
241,Jason Myers,SEA,K,207,218,4.64
242,Miles Boykin,BAL,WR,178,178,0
243,Marqise Lee,JAC,WR,179,179,0
244,Antonio Callaway,CLE,WR,185,185,0
245,Aldrick Rosas,NYG,K,203,231,11.44
246,Graham Gano,CAR,K,202,217,7.5
247,Chase Edmonds,ARI,RB,201,221,10
248,Trey Quinn,WAS,WR,192,192,0
249,Ricky Seals-Jones,ARI,TE,195,195,0
250,Ryan Succop,TEN,K,209,228,8.04
251,Eli Manning,NYG,QB,210,236,9.28
252,Josh Lambo,JAC,K,213,217,2
253,Giorgio Tavecchio,ATL,K,199,199,0
254,Josh Doctson,WAS,WR,200,200,0
255,A.J. Brown,TEN,WR,200,200,0
256,Steven Hauschka,BUF,K,215,219,2
257,Cairo Santos,TB,K,217,217,0
258,Chris Boswell,PIT,K,211,232,8.65
259,Josh Reynolds,LAR,WR,205,205,0
260,Kenneth Dixon,BAL,RB,206,206,0
261,John Ross,CIN,WR,206,206,0
262,Frank Gore,BUF,RB,208,208,0
263,Brandon McManus,DEN,K,212,230,9
264,Greg Joseph,CLE,K,214,228,7
265,Josh Rosen,MIA,QB,211,211,0
266,Diontae Johnson,PIT,WR,211,211,0
267,Dan Bailey,MIN,K,216,227,5.5
268,Marquise Brown,BAL,WR,212,212,0
269,KeeSean Johnson,ARI,WR,213,213,0
270,Cameron Brate,TB,TE,216,216,0
271,New York,NYJ,DST,221,221,0
272,Benny Snell Jr.,PIT,RB,223,223,0
273,Matt Bryant,FA,K,225,225,0
274,Case Keenum,WAS,QB,229,231,1
275,Atlanta,ATL,DST,229,229,0
276,Dwayne Haskins,WAS,QB,229,229,0
277,Green Bay,GB,DST,233,233,0
278,Arizona,ARI,DST,234,234,0
279,Detroit,DET,DST,235,235,0
