1,Jonathan Taylor,IND,RB,14,
2,Christian McCaffrey,CAR,RB,13,
3,Derrick Henry,TEN,RB,6,
4,Dalvin Cook,MIN,RB,7,
5,Cooper Kupp,LAR,WR,7,
6,Justin Jefferson,MIN,WR,7,
7,Ja'Marr Chase,CIN,WR,10,
8,Nick Chubb,CLE,RB,9,
9,Austin Ekeler,LAC,RB,8,
10,D'Andre Swift,DET,RB,6,
11,Najee Harris,PIT,RB,9,
12,Stefon Diggs,BUF,WR,7,
13,Davante Adams,LV,WR,6,
14,Alvin Kamara,NO,RB,14,
15,Aaron Jones,GB,RB,14,
16,Travis Kelce,KC,TE,8,
17,Javonte Williams,DEN,RB,9,
18,Joe Mixon,CIN,RB,10,
19,Josh Allen,BUF,QB,7,
20,Saquon Barkley,NYG,RB,9,
21,CeeDee Lamb,DAL,WR,9,
22,Mike Evans,TB,WR,11,
23,Tyreek Hill,MIA,WR,11,
24,Leonard Fournette,TB,RB,11,
25,Ezekiel Elliott,DAL,RB,9,
26,AJ Brown,PHI,WR,7,
27,Mark Andrews,BAL,TE,10,
28,Deebo Samuel,SF,WR,9,
29,Cam Akers,LAR,RB,7,
30,Keenan Allen,LAC,WR,8,
31,James Conner,ARI,RB,13,
32,Tee Higgins,CIN,WR,10,
33,David Montgomery,CHI,RB,14,
34,Michael Pittman ,IND,WR,14,
35,J.K. Dobbins,BAL,RB,10,
36,Elijah Mitchell,SF,RB,9,
37,Terry McLaurin,WAS,WR,14,
38,Kyle Pitts,ATL,TE,14,
39,Antonio Gibson,WAS,RB,14,
40,George Kittle,SF,TE,9,
41,Lamar Jackson,BAL,QB,10,
42,Travis  ,JAX,RB,11,
43,Jalen Hurts,PHI,QB,7,
44,Josh Jacobs,LV,RB,6,
45,DK Metcalf,SEA,WR,11,
46,Justin Herbert,LAC,QB,8,
47,Diontae Johnson,PIT,WR,9,
48,DeAndre Hopkins,ARI,WR,13,
49,AJ Dillon,GB,RB,14,
50,Darren Waller,LV,TE,6,
51,Jaylen Waddle,MIA,WR,11,
52,Patrick Mahomes II,KC,QB,8,
53,Damien Harris,NE,RB,10,
54,DJ Moore,CAR,WR,13,
55,Breece Hall,NYJ,RB,10,
56,Mike Williams,LAC,WR,8,
57,Michael Thomas,NO,WR,14,
58,Miles Sanders,PHI,RB,7,
59,Chris Godwin,TB,WR,11,
60,Adam Thielen,MIN,WR,7,
61,Jerry Jeudy,DEN,WR,9,
62,Rashaad Penny,SEA,RB,11,
63,Joe Burrow,CIN,QB,10,
64,Kareem Hunt,CLE,RB,9,
65,Allen Robinson II,LAR,WR,7,
66,Courtland Sutton,DEN,WR,9,
67,Aaron Rodgers,GB,QB,14,
68,Kyler Murray,ARI,QB,13,
69,Marquise Brown,ARI,WR,13,
70,Amari Cooper,CLE,WR,9,
71,Tony Pollard,DAL,RB,9,
72,Dallas Goedert,PHI,TE,7,
73,Russell Wilson,DEN,QB,9,
74,Brandin Cooks,HOU,WR,6,
75,Dawson Knox,BUF,TE,7,
76,Gabriel Davis,BUF,WR,7,
77,Matthew Stafford,LAR,QB,7,
78,Dalton Schultz,DAL,TE,9,
79,Melvin Gordon III,DEN,RB,9,
80,DeVonta Smith,PHI,WR,7,
81,Chase Edmonds,MIA,RB,11,
82,Dak Prescott,DAL,QB,9,
83,Devin Singletary,BUF,RB,7,
84,Tom Brady,TB,QB,11,
85,Clyde Edwards-Helaire,KC,RB,8,
86,Rhamondre Stevenson,NE,RB,10,
87,Cordarrelle Patterson,ATL,WR,14,
88,Amon-Ra St. Brown,DET,WR,6,
89,Darnell Mooney,CHI,WR,14,
90,Hunter Renfrow,LV,WR,6,
91,Elijah Moore,NYJ,WR,10,
92,T.J. Hockenson,DET,TE,6,
93,JuJu Smith-Schuster,KC,WR,8,
94,Trey Lance,SF,QB,9,
95,Rashod Bateman,BAL,WR,10,
96,Kenneth Walker III,SEA,RB,11,
97,James Robinson,JAX,RB,11,
98,Brandon Aiyuk,SF,WR,9,
99,Zach Ertz,ARI,TE,13,
100,Ronald Jones II,KC,RB,8,
101,Derek Carr,LV,QB,6,
102,James Cook,BUF,RB,7,
103,Kirk Cousins,MIN,QB,7,
104,Michael Carter,NYJ,RB,10,
105,Tyler Lockett,SEA,WR,11,
106,Raheem Mostert,MIA,RB,11,
107,Pat Freiermuth,PIT,TE,9,
108,Allen Lazard,GB,WR,14,
109,Kadarius Toney,NYG,WR,9,
110,Darrell Henderson ,LAR,RB,7,
111,Russell Gage,TB,WR,11,
112,Christian Kirk,JAX,WR,11,
113,Robert Woods,TEN,WR,6,
114,Michael Gallup,DAL,WR,9,
115,Mike Gesicki,MIA,TE,11,
116,Buffalo Defense,BUF,DEF,7,
117,Dameon Pierce,HOU,RB,6,
118,Marlon Mack,HOU,RB,6,
119,Tyler Allgeier,ATL,RB,14,
120,Nyheim Hines,IND,RB,14,
121,Hunter Henry,NE,TE,10,
122,Alexander Mattison,MIN,RB,7,
123,Gus Edwards,BAL,RB,10,
124,Tua Tagovailoa,MIA,QB,11,
125,Marquez Valdes-Scantling,KC,WR,8,
126,Skyy Moore,KC,WR,8,
127,Matt Ryan,IND,QB,14,
128,Chris Olave,NO,WR,14,
129,Mark Ingram II,NO,RB,14,
130,Cole Kmet,CHI,TE,14,
